time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
48,1,5,9,,,,,,,,,,,,,
96,2,5,16,0.0024986726,0.00416666679084301,0.2,-0.0059118698467500504,0.9970072507858276,0.19121772050857544,10,4.7405009269714355,0.0003,-1.417590034008026,12.961116409301757,,
144,3,5,24,0.0020318665,0.0,0.2,-0.005126664098740718,0.9940071702003479,-0.05123317241668701,20,3.3098671436309814,0.0003,-1.4146039962768555,9.41199688911438,,
192,4,5,35,0.0029063981,0.00416666679084301,0.2,-0.0062997299906172085,0.9910886287689209,-1.0755553245544434,30,3.151050329208374,0.0003,-1.4116006374359131,9.287388372421265,-51.105777,168.0
240,5,5,42,0.0037855718,0.006250000186264515,0.2,-0.004688914814808686,0.9911189079284668,-0.43045127391815186,40,2.4587371349334717,0.0003,-1.409673810005188,7.015809392929077,-51.105777,168.0
288,6,5,49,0.0030948904,0.00416666679084301,0.2,-0.004804895455405855,0.9912318587303162,-0.07002472877502441,50,59.00563049316406,0.0003,-1.4101932168006897,127.19130401611328,-51.105777,168.0
336,7,5,60,0.00034432858,0.0,0.2,-0.0017635924169248085,0.993705689907074,-0.1608372926712036,60,0.9705773591995239,0.0003,-1.410942757129669,2.8135417103767395,-74.6025585,168.0
384,8,5,66,0.0057478338,0.010416666977107525,0.2,-0.008869249705943005,0.9961773753166199,0.0003846883773803711,70,13.403288841247559,0.0003,-1.413949155807495,28.865834617614745,-74.6025585,168.0
432,9,5,73,0.022156714,0.11458333246409894,0.2,-0.028074339730665088,0.9957953095436096,0.07653558254241943,80,2.332580327987671,0.0003,-1.4150479197502137,5.682484722137451,-74.6025585,168.0
480,10,5,81,0.012478598,0.06250000037252904,0.2,-0.013726169864337123,0.9955131411552429,0.00020104646682739258,90,39.574806213378906,0.0003,-1.414588415622711,82.88352737426757,-74.6025585,168.0
528,11,5,90,0.011624146,0.04583333265036345,0.2,-0.017577739804498105,0.9922600984573364,0.10277831554412842,100,1.9140403270721436,0.0003,-1.4130879640579224,4.3758210182189945,-71.85897,168.0
576,12,6,95,0.0016264716,0.002083333395421505,0.2,-0.0032629468400652063,0.9934379458427429,0.12375229597091675,110,1.204723596572876,0.0003,-1.4112300634384156,2.6888285636901856,-71.85897,168.0
624,13,6,100,0.033475038,0.20416666623204946,0.2,-0.03377285044019427,0.9932241439819336,0.03658217191696167,120,0.1543145626783371,0.0003,-1.4127001881599426,0.5498152405023575,-71.85897,168.0
672,14,6,109,0.0018275032,0.0,0.2,-0.0077162370784208175,0.9923030138015747,0.010454535484313965,130,60.30509948730469,0.0003,-1.411573016643524,123.65736236572266,-84.203139,168.0
720,15,6,115,0.00031282878,0.0,0.2,0.0007129592219520475,0.9919989109039307,-0.0035260915756225586,140,105.80033874511719,0.0003,-1.411085319519043,215.07241668701172,-84.203139,168.0
768,16,6,122,0.0016535459,0.0,0.2,-0.006453571005840786,0.9910356998443604,-0.01238870620727539,150,29.02962875366211,0.0003,-1.4105436682701111,59.86790428161621,-84.203139,168.0
816,17,6,130,0.010435369,0.0666666666045785,0.2,-0.01078323838301003,0.985718309879303,0.07479441165924072,160,0.467459112405777,0.0003,-1.407767915725708,1.0893018782138824,-84.203139,168.0
864,18,6,139,0.0030565336,0.0,0.2,-0.0004935902878060005,0.9821444153785706,0.019066452980041504,170,53.69815444946289,0.0003,-1.4026335239410401,109.71507186889649,-90.73573259999999,168.0
912,19,6,144,0.00015778591,0.0,0.2,0.00221793402646,0.9808958768844604,-0.002097606658935547,180,57.621273040771484,0.0003,-1.4002275347709656,117.5167465209961,-90.73573259999999,168.0
960,20,6,148,1.159062e-05,0.0,0.2,-0.00027516533820417524,0.980491578578949,0.0018379688262939453,190,189.55360412597656,0.0003,-1.3994300961494446,383.1445343017578,-90.73573259999999,168.0
1008,21,6,157,4.10527e-06,0.0,0.2,4.2651097767887335e-05,0.9803209900856018,0.0017603039741516113,200,919.959716796875,0.0003,-1.3991496801376342,1848.2631103515625,-141.47641883333333,168.0
1056,22,6,164,1.6676883e-06,0.0,0.2,-8.499883196400049e-05,0.9802313446998596,0.0021317005157470703,210,505.9398193359375,0.0003,-1.3990175127983093,1018.1622314453125,-141.47641883333333,168.0
1104,23,6,171,1.5030305e-05,0.0,0.2,-0.000585521509492537,0.9801746606826782,0.00694960355758667,220,157.81253051757812,0.0003,-1.3989445328712464,318.94920349121094,-141.47641883333333,168.0
1152,24,6,179,2.314647e-06,0.0,0.2,0.00011875170057464856,0.9801688194274902,0.005432009696960449,230,421.2342834472656,0.0003,-1.3989057779312133,848.0416381835937,-141.47641883333333,168.0
1200,25,6,189,4.7439087e-05,0.0,0.2,-0.0008511659987543218,0.9802802205085754,0.006547868251800537,240,158.6034698486328,0.0003,-1.3989476323127747,320.53338012695315,-157.61771,168.0
1248,26,6,196,0.00023167953,0.0,0.2,-0.0011437495724067048,0.9802729487419128,0.01048189401626587,250,18.623151779174805,0.0003,-1.3990408301353454,38.03606910705567,-157.61771,168.0
1296,27,6,202,0.004519803,0.01666666716337204,0.2,-0.008316041325451806,0.9792912006378174,-0.005351424217224121,260,0.32772213220596313,0.0003,-1.3986745595932006,0.6830028653144836,-157.61771,168.0
1344,28,6,212,0.021467661,0.23333333246409893,0.2,-0.03419550623123833,0.9727249145507812,0.050711870193481445,270,0.03164193034172058,0.0003,-1.395510184764862,0.1674545332789421,-140.99946812500002,168.0
1392,29,6,219,0.014309137,0.11458333414047957,0.2,0.019486205667878176,0.9675500988960266,0.002892136573791504,280,7.836869239807129,0.0003,-1.3884589076042175,15.886399745941162,-140.99946812500002,168.0
1440,30,6,227,0.00082918257,0.0,0.2,-0.006346179021056742,0.9656528830528259,0.0015551447868347168,290,156.50257873535156,0.0003,-1.384905791282654,315.6971862792969,-140.99946812500002,168.0
